Дата,Открытие,Закрытие,Мин,Макс,
18.09.2018,109780,109810,109770,109810,
18.09.2018,109810,109800,109800,109810,
18.09.2018,109810,109850,109810,109850,
18.09.2018,109860,109830,109830,109880,
18.09.2018,109840,109810,109810,109850,
18.09.2018,109830,109860,109820,109860,
18.09.2018,109870,109830,109830,109870,
18.09.2018,109820,109870,109820,109890,
18.09.2018,109870,109860,109850,109880,
18.09.2018,109860,109850,109850,109880,
18.09.2018,109850,109860,109850,109860,
18.09.2018,109860,109860,109850,109880,
18.09.2018,109860,109840,109830,109860,
18.09.2018,109850,109850,109840,109860,
18.09.2018,109860,109870,109860,109870,
18.09.2018,109880,109850,109840,109880,
18.09.2018,109830,109860,109830,109870,
18.09.2018,109870,109880,109850,109890,
18.09.2018,109870,109930,109870,109960,
18.09.2018,109930,109920,109900,109960,
18.09.2018,109920,109900,109900,109940,
18.09.2018,109900,109920,109900,109940,
18.09.2018,109930,109900,109900,109940,
18.09.2018,109910,109940,109910,109980,
18.09.2018,109940,109950,109930,109950,
18.09.2018,109970,109970,109960,109990,
18.09.2018,109970,109980,109970,109980,
18.09.2018,109990,110000,109980,110000,
18.09.2018,110000,109990,109980,110000,
18.09.2018,109990,110060,109990,110060,
18.09.2018,110040,110060,110020,110070,
18.09.2018,110060,110070,110030,110100,
18.09.2018,110070,110100,110060,110100,
18.09.2018,110100,110160,110080,110190,
18.09.2018,110160,110160,110150,110200,
18.09.2018,110170,110160,110160,110180,
18.09.2018,110160,110230,110150,110300,
18.09.2018,110220,110160,110160,110230,
18.09.2018,110180,110280,110170,110320,
18.09.2018,110280,110220,110200,110300,
18.09.2018,110220,110200,110200,110240,
18.09.2018,110220,110210,110200,110240,
18.09.2018,110210,110200,110200,110230,
18.09.2018,110200,110190,110170,110200,
18.09.2018,110190,110200,110190,110240,
18.09.2018,110200,110220,110200,110240,
18.09.2018,110220,110220,110200,110260,
18.09.2018,110220,110230,110180,110240,
18.09.2018,110240,110250,110160,110250,
18.09.2018,110230,110160,110140,110230,
18.09.2018,110180,110150,110140,110210,
18.09.2018,110130,110130,110110,110140,
18.09.2018,110140,110120,110110,110160,
18.09.2018,110110,110030,110020,110120,
18.09.2018,110040,110050,110020,110080,
18.09.2018,110040,110050,110020,110060,
18.09.2018,110040,110050,110040,110050,
18.09.2018,110050,109980,109980,110050,
18.09.2018,109980,110010,109960,110030,
18.09.2018,110010,109960,109950,110020,
18.09.2018,109970,110030,109970,110030,
18.09.2018,110030,110070,110010,110070,
18.09.2018,110070,110050,110050,110090,
18.09.2018,110030,109980,109970,110030,
18.09.2018,109980,109990,109980,110010,
18.09.2018,109990,110020,109990,110030,
18.09.2018,110010,109970,109970,110010,
18.09.2018,109970,109990,109970,109990,
18.09.2018,110000,110020,109990,110020,
18.09.2018,110030,110060,110020,110060,
18.09.2018,110060,110090,110060,110100,
18.09.2018,110080,110010,110010,110090,
18.09.2018,109990,109910,109900,110000,
18.09.2018,109940,109960,109930,109960,
18.09.2018,109970,109970,109960,109980,
18.09.2018,109980,110040,109940,110040,
18.09.2018,110030,110000,109980,110070,
18.09.2018,110000,110020,109970,110020,
18.09.2018,110010,110050,110010,110050,
